Region,RegionName,StateName,CountyName,CityName,ForecastYoYPctChange
County,Adair County,OK,Adair County,,5.0
County,Adams County,CO,Adams County,,4.9
County,Adams County,IA,Adams County,,5.2
County,Adams County,ID,Adams County,,5.7
County,Adams County,IL,Adams County,,3.7
County,Adams County,IN,Adams County,,4.1
County,Adams County,MS,Adams County,,0.3
County,Adams County,ND,Adams County,,-5.2
County,Adams County,NE,Adams County,,-2.9
County,Adams County,OH,Adams County,,3.7
County,Adams County,PA,Adams County,,4.7
County,Adams County,WA,Adams County,,4.2
County,Adams County,WI,Adams County,,3.8
County,Addison County,VT,Addison County,,3.6
County,Aiken County,SC,Aiken County,,3.9
County,Aitkin County,MN,Aitkin County,,3.0
County,Alachua County,FL,Alachua County,,6.7
County,Alamance County,NC,Alamance County,,3.8
County,Alameda County,CA,Alameda County,,6.0
County,Alamosa County,CO,Alamosa County,,3.3
County,Albany County,NY,Albany County,,3.7
County,Albany County,WY,Albany County,,3.9
County,Albemarle County,VA,Albemarle County,,7.0
County,Alcona County,MI,Alcona County,,4.4
County,Alcorn County,MS,Alcorn County,,3.2
County,Alexander County,NC,Alexander County,,5.4
County,Alexandria City,VA,Alexandria City,,9.8
County,Alger County,MI,Alger County,,3.5
County,Allamakee County,IA,Allamakee County,,4.6
County,Allegan County,MI,Allegan County,,3.8
County,Allegany County,MD,Allegany County,,0.4
County,Allegany County,NY,Allegany County,,3.2
County,Alleghany County,NC,Alleghany County,,7.5
County,Alleghany County,VA,Alleghany County,,3.3
County,Allegheny County,PA,Allegheny County,,5.3
County,Allen County,IN,Allen County,,5.5
County,Allen County,KS,Allen County,,3.3
County,Allen County,KY,Allen County,,3.6
County,Allen County,OH,Allen County,,5.2
County,Allen Parish,LA,Allen Parish,,-2.0
County,Allendale County,SC,Allendale County,,-1.8
County,Alpena County,MI,Alpena County,,3.9
County,Alpine County,CA,Alpine County,,1.4
County,Amador County,CA,Amador County,,10.1
County,Amelia County,VA,Amelia County,,4.9
County,Amherst County,VA,Amherst County,,3.7
County,Amite County,MS,Amite County,,-0.4
County,Anchorage Borough,AK,Anchorage Borough,,3.7
County,Anderson County,KS,Anderson County,,1.4
County,Anderson County,KY,Anderson County,,2.3
County,Anderson County,SC,Anderson County,,4.3
County,Anderson County,TN,Anderson County,,6.7
County,Anderson County,TX,Anderson County,,3.1
County,Andrew County,MO,Andrew County,,4.6
County,Andrews County,TX,Andrews County,,4.3
County,Androscoggin County,ME,Androscoggin County,,3.9
County,Angelina County,TX,Angelina County,,2.4
County,Anne Arundel County,MD,Anne Arundel County,,3.6
County,Anoka County,MN,Anoka County,,4.3
County,Anson County,NC,Anson County,,4.7
County,Antelope County,NE,Antelope County,,16.0
County,Antrim County,MI,Antrim County,,4.4
County,Apache County,AZ,Apache County,,4.9
County,Appanoose County,IA,Appanoose County,,0.5
County,Appling County,GA,Appling County,,4.0
County,Appomattox County,VA,Appomattox County,,5.3
County,Aransas County,TX,Aransas County,,3.0
County,Arapahoe County,CO,Arapahoe County,,3.7
County,Archer County,TX,Archer County,,3.5
County,Archuleta County,CO,Archuleta County,,3.5
County,Arenac County,MI,Arenac County,,3.5
County,Arkansas County,AR,Arkansas County,,4.6
County,Arlington County,VA,Arlington County,,7.0
County,Armstrong County,PA,Armstrong County,,4.7
County,Armstrong County,TX,Armstrong County,,0.4
County,Aroostook County,ME,Aroostook County,,4.5
County,Ascension Parish,LA,Ascension Parish,,4.2
County,Ashe County,NC,Ashe County,,3.3
County,Ashland County,OH,Ashland County,,3.2
County,Ashland County,WI,Ashland County,,2.2
County,Ashley County,AR,Ashley County,,5.0
County,Ashtabula County,OH,Ashtabula County,,4.6
County,Asotin County,WA,Asotin County,,3.7
County,Assumption Parish,LA,Assumption Parish,,5.6
County,Atascosa County,TX,Atascosa County,,2.1
County,Atchison County,KS,Atchison County,,3.5
County,Atchison County,MO,Atchison County,,-13.5
County,Athens County,OH,Athens County,,3.8
County,Atkinson County,GA,Atkinson County,,5.5
County,Atlantic County,NJ,Atlantic County,,4.4
County,Atoka County,OK,Atoka County,,3.3
County,Attala County,MS,Attala County,,3.5
County,Audrain County,MO,Audrain County,,5.7
County,Audubon County,IA,Audubon County,,0.3
County,Auglaize County,OH,Auglaize County,,3.4
County,Augusta County,VA,Augusta County,,4.1
County,Austin County,TX,Austin County,,3.5
County,Autauga County,AL,Autauga County,,4.0
County,Avery County,NC,Avery County,,4.5
County,Avoyelles Parish,LA,Avoyelles Parish,,4.5
County,Baca County,CO,Baca County,,4.2
County,Bacon County,GA,Bacon County,,4.8
County,Bailey County,TX,Bailey County,,0.5
County,Baker County,FL,Baker County,,3.8
County,Baker County,GA,Baker County,,8.3
County,Baker County,OR,Baker County,,5.1
County,Baldwin County,AL,Baldwin County,,5.1
County,Baldwin County,GA,Baldwin County,,4.6
County,Ballard County,KY,Ballard County,,1.9
County,Baltimore City,MD,Baltimore City,,5.7
County,Baltimore County,MD,Baltimore County,,2.8
County,Bamberg County,SC,Bamberg County,,1.1
County,Bandera County,TX,Bandera County,,3.8
County,Banks County,GA,Banks County,,4.5
County,Bannock County,ID,Bannock County,,7.1
County,Baraga County,MI,Baraga County,,2.0
County,Barbour County,AL,Barbour County,,10.2
County,Barbour County,WV,Barbour County,,-7.8
County,Barnes County,ND,Barnes County,,3.8
County,Barnstable County,MA,Barnstable County,,4.9
County,Barnwell County,SC,Barnwell County,,4.5
County,Barren County,KY,Barren County,,10.8
County,Barron County,WI,Barron County,,3.4
County,Barrow County,GA,Barrow County,,4.4
County,Barry County,MI,Barry County,,6.0
County,Barry County,MO,Barry County,,4.6
County,Bartholomew County,IN,Bartholomew County,,4.9
County,Barton County,KS,Barton County,,3.4
County,Barton County,MO,Barton County,,3.5
County,Bartow County,GA,Bartow County,,4.7
County,Bastrop County,TX,Bastrop County,,1.1
County,Bates County,MO,Bates County,,3.2
County,Bath County,KY,Bath County,,4.2
County,Bath County,VA,Bath County,,5.0
County,Baxter County,AR,Baxter County,,4.2
County,Bay County,FL,Bay County,,5.4
County,Bay County,MI,Bay County,,5.1
County,Bayfield County,WI,Bayfield County,,2.8
County,Beadle County,SD,Beadle County,,2.8
County,Bear Lake County,ID,Bear Lake County,,4.6
County,Beaufort County,NC,Beaufort County,,4.0
County,Beaufort County,SC,Beaufort County,,5.1
County,Beauregard Parish,LA,Beauregard Parish,,4.7
County,Beaver County,OK,Beaver County,,3.9
County,Beaver County,PA,Beaver County,,8.9
County,Beaverhead County,MT,Beaverhead County,,3.0
County,Becker County,MN,Becker County,,2.8
County,Beckham County,OK,Beckham County,,3.1
County,Bedford County,PA,Bedford County,,3.6
County,Bedford County,TN,Bedford County,,6.4
County,Bedford County,VA,Bedford County,,4.3
County,Bee County,TX,Bee County,,3.2
County,Belknap County,NH,Belknap County,,4.7
County,Bell County,KY,Bell County,,2.0
County,Bell County,TX,Bell County,,7.0
County,Belmont County,OH,Belmont County,,4.3
County,Beltrami County,MN,Beltrami County,,3.7
County,Ben Hill County,GA,Ben Hill County,,2.8
County,Benewah County,ID,Benewah County,,5.8
County,Bennington County,VT,Bennington County,,4.0
County,Benson County,ND,Benson County,,13.0
County,Bent County,CO,Bent County,,5.0
County,Benton County,AR,Benton County,,5.2
County,Benton County,IA,Benton County,,4.4
County,Benton County,IN,Benton County,,4.4
County,Benton County,MN,Benton County,,3.3
County,Benton County,MO,Benton County,,4.3
County,Benton County,MS,Benton County,,5.3
County,Benton County,OR,Benton County,,4.1
County,Benton County,TN,Benton County,,6.5
County,Benton County,WA,Benton County,,4.4
County,Benzie County,MI,Benzie County,,0.9
County,Bergen County,NJ,Bergen County,,5.8
County,Berkeley County,SC,Berkeley County,,4.2
County,Berkeley County,WV,Berkeley County,,3.5
County,Berks County,PA,Berks County,,4.3
County,Berkshire County,MA,Berkshire County,,5.2
County,Bernalillo County,NM,Bernalillo County,,5.1
County,Berrien County,GA,Berrien County,,4.6
County,Berrien County,MI,Berrien County,,4.4
County,Bertie County,NC,Bertie County,,6.7
County,Bexar County,TX,Bexar County,,3.4
County,Bibb County,AL,Bibb County,,0.4
County,Bibb County,GA,Bibb County,,3.5
County,Bienville Parish,LA,Bienville Parish,,3.3
County,Big Horn County,WY,Big Horn County,,3.4
County,Big Stone County,MN,Big Stone County,,2.3
County,Bingham County,ID,Bingham County,,6.2
County,Black Hawk County,IA,Black Hawk County,,3.8
County,Blackford County,IN,Blackford County,,6.3
County,Bladen County,NC,Bladen County,,3.8
County,Blaine County,ID,Blaine County,,2.8
County,Blaine County,OK,Blaine County,,4.3
County,Blair County,PA,Blair County,,4.3
County,Blanco County,TX,Blanco County,,3.7
County,Bland County,VA,Bland County,,4.5
County,Bleckley County,GA,Bleckley County,,4.1
County,Bledsoe County,TN,Bledsoe County,,5.5
County,Blount County,AL,Blount County,,4.4
County,Blount County,TN,Blount County,,5.6
County,Blue Earth County,MN,Blue Earth County,,4.9
County,Boise County,ID,Boise County,,5.2
County,Bolivar County,MS,Bolivar County,,3.6
County,Bollinger County,MO,Bollinger County,,8.8
County,Bond County,IL,Bond County,,2.5
County,Bonner County,ID,Bonner County,,6.0
County,Bonneville County,ID,Bonneville County,,6.5
County,Boone County,AR,Boone County,,4.4
County,Boone County,IA,Boone County,,4.3
County,Boone County,IL,Boone County,,-20.0
County,Boone County,IN,Boone County,,4.2
County,Boone County,KY,Boone County,,4.4
County,Boone County,MO,Boone County,,4.0
County,Boone County,WV,Boone County,,4.2
County,Bosque County,TX,Bosque County,,3.6
County,Bossier Parish,LA,Bossier Parish,,3.7
County,Botetourt County,VA,Botetourt County,,3.8
County,Boulder County,CO,Boulder County,,3.2
County,Boundary County,ID,Boundary County,,6.2
County,Bourbon County,KS,Bourbon County,,5.2
County,Bourbon County,KY,Bourbon County,,4.3
County,Bowie County,TX,Bowie County,,2.7
County,Box Butte County,NE,Box Butte County,,4.8
County,Box Elder County,UT,Box Elder County,,10.7
County,Boyd County,KY,Boyd County,,4.2
County,Boyle County,KY,Boyle County,,3.7
County,Bracken County,KY,Bracken County,,2.8
County,Bradford County,FL,Bradford County,,2.1
County,Bradford County,PA,Bradford County,,4.0
County,Bradley County,AR,Bradley County,,6.1
County,Bradley County,TN,Bradley County,,5.7
County,Branch County,MI,Branch County,,6.1
County,Brantley County,GA,Brantley County,,4.1
County,Braxton County,WV,Braxton County,,6.1
County,Brazoria County,TX,Brazoria County,,3.4
County,Brazos County,TX,Brazos County,,4.8
County,Breckinridge County,KY,Breckinridge County,,4.8
County,Bremer County,IA,Bremer County,,3.8
County,Brevard County,FL,Brevard County,,1.0
County,Brewster County,TX,Brewster County,,1.9
County,Bristol City,VA,Bristol City,,6.1
County,Bristol County,MA,Bristol County,,4.5
County,Bristol County,RI,Bristol County,,4.0
County,Broadwater County,MT,Broadwater County,,2.0
County,Bronx County,NY,Bronx County,,4.6
County,Brooke County,WV,Brooke County,,-1.7
County,Brookings County,SD,Brookings County,,4.5
County,Brooks County,GA,Brooks County,,4.3
County,Brooks County,TX,Brooks County,,5.7
County,Broome County,NY,Broome County,,5.8
County,Broomfield County,CO,Broomfield County,,5.2
County,Broward County,FL,Broward County,,6.4
County,Brown County,IN,Brown County,,4.4
County,Brown County,KS,Brown County,,2.4
County,Brown County,MN,Brown County,,3.5
County,Brown County,OH,Brown County,,3.6
County,Brown County,SD,Brown County,,4.3
County,Brown County,TX,Brown County,,2.7
County,Brown County,WI,Brown County,,5.8
County,Brunswick County,NC,Brunswick County,,-2.9
County,Brunswick County,VA,Brunswick County,,4.9
County,Bryan County,GA,Bryan County,,2.1
County,Bryan County,OK,Bryan County,,4.8
County,Buchanan County,IA,Buchanan County,,4.1
County,Buchanan County,MO,Buchanan County,,3.0
County,Buchanan County,VA,Buchanan County,,2.9
County,Buckingham County,VA,Buckingham County,,6.2
County,Bucks County,PA,Bucks County,,3.4
County,Buena Vista City,VA,Buena Vista City,,5.2
County,Buena Vista County,IA,Buena Vista County,,2.9
County,Buffalo County,NE,Buffalo County,,4.3
County,Buffalo County,WI,Buffalo County,,4.9
County,Bullitt County,KY,Bullitt County,,6.9
County,Bulloch County,GA,Bulloch County,,5.2
County,Bullock County,AL,Bullock County,,3.5
County,Buncombe County,NC,Buncombe County,,4.9
County,Bureau County,IL,Bureau County,,2.9
County,Burke County,GA,Burke County,,4.1
County,Burke County,NC,Burke County,,8.0
County,Burleigh County,ND,Burleigh County,,4.1
County,Burleson County,TX,Burleson County,,3.6
County,Burlington County,NJ,Burlington County,,5.6
County,Burnet County,TX,Burnet County,,1.7
County,Burnett County,WI,Burnett County,,4.1
County,Burt County,NE,Burt County,,4.8
County,Butler County,AL,Butler County,,4.0
County,Butler County,IA,Butler County,,3.9
County,Butler County,KS,Butler County,,4.1
County,Butler County,KY,Butler County,,4.7
County,Butler County,MO,Butler County,,4.0
County,Butler County,NE,Butler County,,5.6
County,Butler County,OH,Butler County,,3.5
County,Butler County,PA,Butler County,,3.7
County,Butte County,CA,Butte County,,4.4
County,Butte County,SD,Butte County,,4.8
County,Butts County,GA,Butts County,,7.7
County,Cabarrus County,NC,Cabarrus County,,5.0
County,Cabell County,WV,Cabell County,,3.6
County,Cache County,UT,Cache County,,7.0
County,Caddo County,OK,Caddo County,,2.6
County,Caddo Parish,LA,Caddo Parish,,4.3
County,Calaveras County,CA,Calaveras County,,6.1
County,Calcasieu Parish,LA,Calcasieu Parish,,3.6
County,Caldwell County,KY,Caldwell County,,1.1
County,Caldwell County,MO,Caldwell County,,3.3
County,Caldwell County,NC,Caldwell County,,5.2
County,Caldwell County,TX,Caldwell County,,3.4
County,Caldwell Parish,LA,Caldwell Parish,,5.6
County,Caledonia County,VT,Caledonia County,,3.1
County,Calhoun County,AL,Calhoun County,,4.7
County,Calhoun County,AR,Calhoun County,,3.9
County,Calhoun County,FL,Calhoun County,,3.9
County,Calhoun County,GA,Calhoun County,,9.0
County,Calhoun County,IA,Calhoun County,,4.0
County,Calhoun County,IL,Calhoun County,,3.7
County,Calhoun County,MI,Calhoun County,,5.6
County,Calhoun County,SC,Calhoun County,,6.4
County,Calhoun County,TX,Calhoun County,,2.3
County,Calhoun County,WV,Calhoun County,,4.0
County,Callahan County,TX,Callahan County,,1.7
County,Callaway County,MO,Callaway County,,3.2
County,Calloway County,KY,Calloway County,,3.3
County,Calumet County,WI,Calumet County,,3.4
County,Calvert County,MD,Calvert County,,3.1
County,Camas County,ID,Camas County,,7.2
County,Cambria County,PA,Cambria County,,5.6
County,Camden County,GA,Camden County,,4.4
County,Camden County,MO,Camden County,,4.4
County,Camden County,NC,Camden County,,3.3
County,Camden County,NJ,Camden County,,6.9
County,Cameron County,PA,Cameron County,,9.2
County,Cameron County,TX,Cameron County,,4.0
County,Cameron Parish,LA,Cameron Parish,,7.7
County,Camp County,TX,Camp County,,2.6
County,Campbell County,KY,Campbell County,,5.0
County,Campbell County,TN,Campbell County,,5.0
County,Campbell County,VA,Campbell County,,3.8
County,Campbell County,WY,Campbell County,,3.4
County,Canadian County,OK,Canadian County,,3.9
County,Candler County,GA,Candler County,,4.0
County,Cannon County,TN,Cannon County,,6.1
County,Canyon County,ID,Canyon County,,5.9
County,Cape Girardeau County,MO,Cape Girardeau County,,0.3
County,Cape May County,NJ,Cape May County,,4.1
County,Carbon County,MT,Carbon County,,9.8
County,Carbon County,PA,Carbon County,,3.9
County,Carbon County,UT,Carbon County,,2.1
County,Carbon County,WY,Carbon County,,4.1
County,Caribou County,ID,Caribou County,,8.0
County,Carlisle County,KY,Carlisle County,,2.9
County,Carlton County,MN,Carlton County,,3.8
County,Caroline County,MD,Caroline County,,3.6
County,Caroline County,VA,Caroline County,,4.5
County,Carroll County,AR,Carroll County,,4.6
County,Carroll County,GA,Carroll County,,3.8
County,Carroll County,IA,Carroll County,,3.3
County,Carroll County,IL,Carroll County,,4.2
County,Carroll County,IN,Carroll County,,3.9
County,Carroll County,KY,Carroll County,,5.5
County,Carroll County,MD,Carroll County,,4.3
County,Carroll County,MO,Carroll County,,2.2
County,Carroll County,NH,Carroll County,,5.0
County,Carroll County,OH,Carroll County,,3.8
County,Carroll County,TN,Carroll County,,4.2
County,Carroll County,VA,Carroll County,,3.5
County,Carson City,NV,Carson City,,7.2
County,Carson County,TX,Carson County,,4.1
County,Carter County,KY,Carter County,,1.5
County,Carter County,OK,Carter County,,5.3
County,Carter County,TN,Carter County,,5.3
County,Carteret County,NC,Carteret County,,4.1
County,Carver County,MN,Carver County,,3.7
County,Cascade County,MT,Cascade County,,4.8
County,Casey County,KY,Casey County,,0.3
County,Cass County,IA,Cass County,,3.4
County,Cass County,IL,Cass County,,3.7
County,Cass County,IN,Cass County,,3.7
County,Cass County,MI,Cass County,,4.0
County,Cass County,MN,Cass County,,4.6
County,Cass County,MO,Cass County,,2.3
County,Cass County,ND,Cass County,,3.4
County,Cass County,NE,Cass County,,3.7
County,Cass County,TX,Cass County,,2.0
County,Cassia County,ID,Cassia County,,4.9
County,Castro County,TX,Castro County,,1.2
County,Caswell County,NC,Caswell County,,3.1
County,Catawba County,NC,Catawba County,,2.3
County,Catoosa County,GA,Catoosa County,,6.1
County,Cattaraugus County,NY,Cattaraugus County,,5.1
County,Cayuga County,NY,Cayuga County,,4.5
County,Cecil County,MD,Cecil County,,5.1
County,Cedar County,IA,Cedar County,,4.4
County,Cedar County,MO,Cedar County,,3.9
County,Cedar County,NE,Cedar County,,1.8
County,Centre County,PA,Centre County,,3.7
County,Cerro Gordo County,IA,Cerro Gordo County,,4.1
County,Chaffee County,CO,Chaffee County,,2.9
County,Chambers County,AL,Chambers County,,4.2
County,Chambers County,TX,Chambers County,,3.9
County,Champaign County,IL,Champaign County,,2.9
County,Champaign County,OH,Champaign County,,3.6
County,Chariton County,MO,Chariton County,,-12.9
County,Charles City County,VA,Charles City County,,2.3
County,Charles County,MD,Charles County,,5.0
County,Charles Mix County,SD,Charles Mix County,,-10.9
County,Charleston County,SC,Charleston County,,4.1
County,Charlevoix County,MI,Charlevoix County,,4.9
County,Charlotte County,FL,Charlotte County,,2.3
County,Charlotte County,VA,Charlotte County,,3.9
County,Charlottesville City,VA,Charlottesville City,,5.7
County,Charlton County,GA,Charlton County,,5.0
County,Chatham County,GA,Chatham County,,3.9
County,Chatham County,NC,Chatham County,,6.0
County,Chattahoochee County,GA,Chattahoochee County,,2.8
County,Chattooga County,GA,Chattooga County,,4.4
County,Chautauqua County,NY,Chautauqua County,,5.3
County,Chaves County,NM,Chaves County,,3.8
County,Cheatham County,TN,Cheatham County,,3.6
County,Cheboygan County,MI,Cheboygan County,,2.8
County,Chelan County,WA,Chelan County,,1.4
County,Chemung County,NY,Chemung County,,5.2
County,Chenango County,NY,Chenango County,,2.5
County,Cherokee County,AL,Cherokee County,,4.7
County,Cherokee County,GA,Cherokee County,,6.4
County,Cherokee County,IA,Cherokee County,,3.7
County,Cherokee County,KS,Cherokee County,,4.3
County,Cherokee County,NC,Cherokee County,,4.3
County,Cherokee County,OK,Cherokee County,,5.2
County,Cherokee County,SC,Cherokee County,,7.3
County,Cherokee County,TX,Cherokee County,,2.9
County,Chesapeake City,VA,Chesapeake City,,4.6
County,Cheshire County,NH,Cheshire County,,5.7
County,Chester County,PA,Chester County,,4.4
County,Chester County,SC,Chester County,,5.2
County,Chester County,TN,Chester County,,2.5
County,Chesterfield County,SC,Chesterfield County,,5.0
County,Chesterfield County,VA,Chesterfield County,,6.6
County,Cheyenne County,CO,Cheyenne County,,1.5
County,Cheyenne County,NE,Cheyenne County,,5.2
County,Chickasaw County,IA,Chickasaw County,,2.9
County,Chickasaw County,MS,Chickasaw County,,3.6
County,Chicot County,AR,Chicot County,,10.2
County,Childress County,TX,Childress County,,-4.6
County,Chilton County,AL,Chilton County,,5.0
County,Chippewa County,MI,Chippewa County,,4.1
County,Chippewa County,MN,Chippewa County,,3.6
County,Chippewa County,WI,Chippewa County,,6.5
County,Chisago County,MN,Chisago County,,3.9
County,Chittenden County,VT,Chittenden County,,3.3
County,Choctaw County,MS,Choctaw County,,3.6
County,Choctaw County,OK,Choctaw County,,4.8
County,Chouteau County,MT,Chouteau County,,0.4
County,Chowan County,NC,Chowan County,,4.4
County,Christian County,IL,Christian County,,4.0
County,Christian County,KY,Christian County,,4.1
County,Christian County,MO,Christian County,,4.3
County,Churchill County,NV,Churchill County,,2.7
County,Cibola County,NM,Cibola County,,-8.4
County,Citrus County,FL,Citrus County,,3.3
County,Clackamas County,OR,Clackamas County,,4.1
County,Claiborne County,MS,Claiborne County,,-9.8
County,Claiborne County,TN,Claiborne County,,6.2
County,Claiborne Parish,LA,Claiborne Parish,,7.0
County,Clallam County,WA,Clallam County,,2.8
County,Clare County,MI,Clare County,,4.0
County,Clarendon County,SC,Clarendon County,,4.3
County,Clarion County,PA,Clarion County,,4.5
County,Clark County,AR,Clark County,,4.3
County,Clark County,IL,Clark County,,3.7
County,Clark County,IN,Clark County,,6.2
County,Clark County,KY,Clark County,,4.1
County,Clark County,NV,Clark County,,4.9
County,Clark County,OH,Clark County,,4.4
County,Clark County,WA,Clark County,,5.9
County,Clark County,WI,Clark County,,2.5
County,Clarke County,AL,Clarke County,,4.1
County,Clarke County,GA,Clarke County,,6.5
County,Clarke County,IA,Clarke County,,2.1
County,Clarke County,VA,Clarke County,,3.8
County,Clatsop County,OR,Clatsop County,,4.3
County,Clay County,AL,Clay County,,5.9
County,Clay County,AR,Clay County,,4.7
County,Clay County,FL,Clay County,,4.1
County,Clay County,GA,Clay County,,-0.9
County,Clay County,IA,Clay County,,4.2
County,Clay County,IL,Clay County,,4.0
County,Clay County,IN,Clay County,,3.9
County,Clay County,KS,Clay County,,-2.9
County,Clay County,KY,Clay County,,4.0
County,Clay County,MN,Clay County,,5.3
County,Clay County,MO,Clay County,,4.0
County,Clay County,MS,Clay County,,3.5
County,Clay County,NC,Clay County,,4.8
County,Clay County,NE,Clay County,,4.3
County,Clay County,SD,Clay County,,4.7
County,Clay County,TN,Clay County,,4.8
County,Clay County,TX,Clay County,,5.2
County,Clay County,WV,Clay County,,8.9
County,Clayton County,GA,Clayton County,,7.0
County,Clayton County,IA,Clayton County,,3.6
County,Clear Creek County,CO,Clear Creek County,,4.3
County,Clearfield County,PA,Clearfield County,,4.1
County,Clearwater County,ID,Clearwater County,,6.3
County,Clearwater County,MN,Clearwater County,,3.9
County,Cleburne County,AL,Cleburne County,,3.5
County,Cleburne County,AR,Cleburne County,,5.5
County,Clermont County,OH,Clermont County,,4.0
County,Cleveland County,AR,Cleveland County,,5.9
County,Cleveland County,NC,Cleveland County,,4.4
County,Cleveland County,OK,Cleveland County,,4.9
County,Clinch County,GA,Clinch County,,4.2
County,Clinton County,IA,Clinton County,,3.9
County,Clinton County,IL,Clinton County,,4.8
County,Clinton County,IN,Clinton County,,4.5
County,Clinton County,KY,Clinton County,,6.8
County,Clinton County,MI,Clinton County,,6.6
County,Clinton County,MO,Clinton County,,4.4
County,Clinton County,NY,Clinton County,,2.5
County,Clinton County,OH,Clinton County,,3.8
County,Clinton County,PA,Clinton County,,3.7
County,Coahoma County,MS,Coahoma County,,3.5
County,Coal County,OK,Coal County,,-0.7
County,Cobb County,GA,Cobb County,,6.3
County,Cochise County,AZ,Cochise County,,5.3
County,Cocke County,TN,Cocke County,,16.7
County,Coconino County,AZ,Coconino County,,2.9
County,Codington County,SD,Codington County,,5.2
County,Coffee County,AL,Coffee County,,2.7
County,Coffee County,GA,Coffee County,,4.6
County,Coffee County,TN,Coffee County,,4.3
County,Coffey County,KS,Coffey County,,0.8
County,Colbert County,AL,Colbert County,,4.5
County,Cole County,MO,Cole County,,2.4
County,Coleman County,TX,Coleman County,,4.0
County,Coles County,IL,Coles County,,2.8
County,Colfax County,NE,Colfax County,,4.5
County,Colfax County,NM,Colfax County,,2.5
County,Colleton County,SC,Colleton County,,4.3
County,Collier County,FL,Collier County,,2.6
County,Collin County,TX,Collin County,,3.9
County,Colonial Heights City,VA,Colonial Heights City,,4.4
County,Colorado County,TX,Colorado County,,3.0
County,Colquitt County,GA,Colquitt County,,4.8
County,Columbia County,AR,Columbia County,,7.3
County,Columbia County,FL,Columbia County,,-7.0
County,Columbia County,GA,Columbia County,,4.4
County,Columbia County,NY,Columbia County,,5.1
County,Columbia County,OR,Columbia County,,4.8
County,Columbia County,PA,Columbia County,,4.2
County,Columbia County,WA,Columbia County,,5.5
County,Columbia County,WI,Columbia County,,7.5
County,Columbiana County,OH,Columbiana County,,4.7
County,Columbus County,NC,Columbus County,,3.2
County,Colusa County,CA,Colusa County,,1.7
County,Comal County,TX,Comal County,,1.1
County,Comanche County,OK,Comanche County,,4.0
County,Comanche County,TX,Comanche County,,1.9
County,Concordia Parish,LA,Concordia Parish,,4.1
County,Conecuh County,AL,Conecuh County,,4.9
County,Conejos County,CO,Conejos County,,3.1
County,Contra Costa County,CA,Contra Costa County,,2.8
County,Converse County,WY,Converse County,,4.3
County,Conway County,AR,Conway County,,6.1
County,Cook County,GA,Cook County,,5.1
County,Cook County,IL,Cook County,,5.0
County,Cook County,MN,Cook County,,3.1
County,Cooke County,TX,Cooke County,,2.3
County,Cooper County,MO,Cooper County,,4.9
County,Coos County,NH,Coos County,,6.1
County,Coos County,OR,Coos County,,5.0
County,Coosa County,AL,Coosa County,,6.5
County,Copiah County,MS,Copiah County,,-0.2
County,Cortland County,NY,Cortland County,,2.8
County,Coryell County,TX,Coryell County,,2.4
County,Coshocton County,OH,Coshocton County,,3.9
County,Costilla County,CO,Costilla County,,4.9
County,Cotton County,OK,Cotton County,,5.6
County,Cottonwood County,MN,Cottonwood County,,4.3
County,Covington City,VA,Covington City,,4.9
County,Covington County,AL,Covington County,,4.7
County,Covington County,MS,Covington County,,3.7
